HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainCarbon,GrainNitrogen,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,ResidueCarbon,ResidueNitrogen,Comments
2013,WW,CF13GPWW_194_25-H,-117.07891,46.78066,194,324.8031496062992,,,,9.2,72.7,24.7,,,,protein not done
2013,WW,CF13GPWW_195_26-H,-117.07852,46.7807,195,367.86417322834643,,,9.7,9.2,74.4,24.7,,,,
2013,WW,CF13GPWW_196_27-H,-117.0781,46.7807,196,334.23556430446195,,,9.9,9.3,73.2,26.7,,,,
2013,WW,CF13GPWW_197_28-H,-117.07768,46.78064,197,319.4717847769029,,,9.5,9.2,73.9,24,,,,
2013,WW,CF13GPWW_198_29-H,-117.07727,46.7808,198,355.15091863517057,,,9.4,9.1,73,23.9,,,,
2013,WW,CF13GPWW_199_30-H,-117.07685,46.78058,199,385.498687664042,,,8.7,9.5,74.7,22.2,,,,
2013,WW,CF13GPWW_200_8-I,-117.08624,46.78105,201,154.60958005249344,,,10.5,9.1,72.6,28.6,,,,
2013,SW,CF13GPSW_201_9-I,-117.08582,46.78095,202,269.8490813648294,,,10.2,8.9,71.3,27.6,,,,
2013,SW,CF13GPSW_202_10-I,-117.08541,46.78107,203,252.6246719160105,,,10.3,9.1,71.9,26.3,,,,
2013,SW,CF13GPSW_203_11-I,-117.08499,46.78092,204,365.4035433070866,,,8.8,6.4,79.2,21.2,,,,
2013,GB,CF13GPGB_204_12-I,-117.08457,46.78101,205,189.46850393700785,46.059,3.3341,,,,,,,,
2013,SB,CF13GPSB_205_13-I,-117.08415,46.78096,206,408.4645669291338,,,11.4,9.4,64,,,,,
2013,SB,CF13GPSB_206_14-I,-117.08375,46.78104,207,343.66797900262463,,,10.1,7.7,64.2,,,,,
2013,GB,CF13GPGB_207_15-I,-117.08332,46.78095,208,99.24540682414698,46.273,3.6686,,,,,,,,
2013,GB,CF13GPGB_208_16-I,-117.0829,46.78101,209,156.25,46.507,3.7514,,,,,,,,
2013,GB,CF13GPGB_209_17-I,-117.08248,46.78105,210,144.35695538057743,46.543,3.5923,,,,,,,,
2013,GB,CF13GPGB_210_18-I,-117.08206,46.78085,211,216.94553805774277,46.711,3.6015,,,,,,,,
2013,GB,CF13GPGB_211_19-I,-117.08164,46.78099,212,175.93503937007873,46.638,3.8199,,,,,,,,
2013,SW,CF13GPSW_212_20-I,-117.08123,46.78099,213,345.7185039370079,,,10.3,6.9,77.8,26,,,,
2013,SW,CF13GPSW_213_21-I,-117.08081,46.78085,214,387.9593175853018,,,9.1,10,71.2,24.6,,,,
2013,SW,CF13GPSW_214_22-I,-117.08044,46.78112,215,367.86417322834643,,,10.6,6.8,77.3,26.8,,,,
2013,WW,CF13GPWW_216_23-I,-117.07997,46.78108,216,370.3248031496063,,,10.8,9.5,72.4,30.2,,,,
2013,WW,CF13GPWW_217_24-I,-117.07955,46.78105,217,413.7959317585302,,,10.5,9.3,73.7,27.9,,,,
2013,WW,CF13GPWW_218_25-I,-117.07914,46.78097,218,324.39304461942254,,,8.5,9.2,76,20.5,,,,
2013,WW,CF13GPWW_219_26-I,-117.07872,46.78098,219,383.8582677165354,,,8.8,9.3,74,21.5,,,,
2013,WW,CF13GPWW_220_27-I,-117.0783,46.78099,220,427.3293963254593,,,9.7,9.3,73.8,24.6,,,,
2013,WW,CF13GPWW_221_28-I,-117.07788,46.78092,221,415.84645669291336,,,9.8,9.4,74.3,25.2,,,,
2013,WW,CF13GPWW_222_29-I,-117.07746,46.78109,222,444.9639107611548,,,10.1,9.3,73.5,26.3,,,,
2013,WW,CF13GPWW_223_30-I,-117.07705,46.78086,223,301.42716535433067,,,10.1,9,73,26.1,,,,
2013,WW,CF13GPWW_224_31-I,-117.07663,46.78099,224,405.1837270341207,,,9.6,9,75.3,24.5,,,,
2013,SW,CF13GPSW_225_8-J,-117.08586,46.78132,226,269.8490813648294,,,9.8,6.8,77.4,23.6,,,,
2013,SW,CF13GPSW_226_9-J,-117.08543,46.78122,227,227.19816272965878,,,10.9,6.5,75.8,25.1,,,,
2013,SW,CF13GPSW_227_10-J,-117.08504,46.78136,228,189.8786089238845,,,9.8,9.7,70.9,26.6,449.06496062992125,45.094,0.453,
2013,SW,CF13GPSW_228_11-J,-117.08462,46.78121,229,371.96522309711287,,,9.5,6.8,78.7,22.1,,,,
2013,GB,CF13GPGB_229_12-J,-117.08421,46.78129,230,104.16666666666666,46.092,3.6185,,,,,,,,
2013,SB,CF13GPSB_230_13-J,-117.08379,46.78125,231,333.005249343832,,,12.8,8.7,63.5,,,,,
2013,GB,CF13GPGB_231_14-J,-117.08328,46.78127,232,212.0242782152231,46.689,3.618,,,,,,,,
2013,GB,CF13GPGB_232_15-J,-117.08295,46.78123,233,239.09120734908134,46.544,3.5464,,,,,,,,
2013,GB,CF13GPGB_233_16-J,-117.08253,46.7813,234,335.0557742782152,46.341,3.3053,,,,,,,,
2013,GB,CF13GPGB_234_17-J,-117.08212,46.78134,235,160.76115485564304,46.171,3.6253,,,,,,,,
2013,GB,CF13GPGB_235_18-J,-117.0817,46.78114,236,152.1489501312336,46.643,3.7231,,,,,,,,
2013,SW,CF13GPSW_236_19-J,-117.08124,46.78126,237,319.06167979002623,,,10.8,6.5,76.1,25.8,,,,
2013,SW,CF13GPSW_237_20-J,-117.08086,46.78128,238,351.0498687664042,,,9.6,6.7,78.2,23.4,,,,
2013,SW,CF13GPSW_238_21-J,-117.08045,46.78115,239,365.81364829396324,,,10.3,6.6,77.6,25.3,,,,
2013,SW,CF13GPSW_239_22-J,-117.08011,46.78145,240,204.64238845144357,,,11.2,6.6,77,27.9,,,,
2013,WW,CF13GPWW_241_23-J,-117.07961,46.78137,241,413.3858267716535,,,11.7,9.3,71.9,31.7,,,,
2013,WW,CF13GPWW_242_24-J,-117.07919,46.78133,242,339.1568241469816,,,9.6,9.3,74.9,24.6,,,,
2013,WW,CF13GPWW_243_25-J,-117.07877,46.78126,243,353.1003937007874,,,8.6,9.4,75.7,21.2,,,,
2013,WW,CF13GPWW_244_26-J,-117.07839,46.78129,244,323.98293963254594,,,9.1,9.6,73.9,23.5,,,,
2013,WW,CF13GPWW_245_27-J,-117.07794,46.78127,245,425.6889763779527,,,10.7,9.4,72.7,28.5,,,,
