HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,Comments
2012,WW,GPHY12_WW_A2_324_11-N,-117.084751,46.78235,324,,,,,,""
2012,WW,GPHY12_WW_A2_325_12-N,-117.084333,46.782439,325,,,,,,""
2012,WW,GPHY12_WW_A3_326_13-N,-117.083915,46.782392,326,,11.1,8.4,74.4,29.7,""
2012,WW,GPHY12_WW_A4_327_14-N,-117.083497,46.782455,327,,11.2,8.7,73.6,30.4,""
2012,WW,GPHY12_WW_A5_328_15-N,-117.083079,46.782376,328,,11.1,8.2,75.3,29.6,""
2012,WW,GPHY12_WW_A6_329_16-N,-117.08264527,46.78243781,329,,9.3,8.2,77.7,22.7,""
2012,WW,GPHY12_WW_A6_330_17-N,-117.082243,46.782482,330,,9.6,8.3,77.1,24.3,""
2012,SW,GPHY12_SW_B1_331_18-N,-117.081825,46.782284,331,,,,,,""
2012,SW,GPHY12_SW_B2_332_19-N,-117.081407,46.782423,332,,8.6,9.4,74.3,22,""
2012,SW,GPHY12_SW_B3_333_20-N,-117.080989,46.782425,333,,10.5,9.1,72.7,28.6,""
2012,WW,GPHY12_WW_B4_334_21-N,-117.080571,46.782281,334,,10.1,8,77.4,26.2,""
2012,WW,GPHY12_WW_B4_335_22-N,-117.080153,46.782544,335,,10.3,8.3,75.7,26.5,""
2012,SB,GPHY12_SB_B5_336_23-N,-117.079735,46.782515,336,,9.5,9.3,68.6,,""
2012,SL,GPHY12_SL_B6_337_24-N,-117.079317,46.782479,337,99.01531728665208,,,,,""
2012,SL,GPHY12_SL_C1_338_25-N,-117.07889105,46.78239455,338,268.0525164113785,,,,,""
2012,WW,GPHY12_WW_A1_348_11-O,-117.084617,46.782636,348,,10.1,8.8,74.1,26.2, | Sample note: mice
2012,WW,GPHY12_WW_A2_349_12-O,-117.084199,46.782725,349,,13.4,8.2,70.7,36.8,""
2012,WW,GPHY12_WW_A3_350_13-O,-117.083781,46.782678,350,,12,8.6,72.5,32.2,""
